value,lat,lon,value-128,value*0.76684881602
533,51.538288,-0.009765,405,409
539,51.538301,-0.009555,411,413
566,51.538442,-0.010336,438,434
555,51.538445,-0.01058,427,426
511,51.538312,-0.011064,383,392
543,51.538203,-0.011479,415,416
561,51.538124,-0.011689,433,430
548,51.538195,-0.011531,420,420
566,51.538124,-0.011602,438,434
523,51.537902,-0.011468,395,401
544,51.537699,-0.011128,416,417
518,51.537521,-0.010931,390,397
502,51.537573,-0.01065,374,385
533,51.537654,-0.010733,405,409
515,51.537388,-0.010624,387,395
546,51.537412,-0.010545,418,419
522,51.537469,-0.010415,394,400
574,51.537534,-0.010272,446,440
561,51.537576,-0.010104,433,430
519,51.537581,-0.010037,391,398
488,51.53761,-0.009907,360,374
531,51.537772,-0.009945,403,407
540,51.537739,-0.009877,412,414
518,51.537853,-0.0101,390,397
552,51.538069,-0.010037,424,423
575,51.538161,-0.010175,447,441
588,51.538396,-0.01031,460,451
576,51.538659,-0.010201,448,442
558,51.538808,-0.010087,430,428
537,51.538837,-0.009865,409,412
555,51.538641,-0.009764,427,426
590,51.538805,-0.009399,462,452
610,51.538779,-0.009361,482,468
581,51.538845,-0.009349,453,446
561,51.538761,-0.009256,433,430
569,51.538675,-0.009047,441,436
581,51.538638,-0.008879,453,446
588,51.538466,-0.008761,460,451
583,51.538471,-0.008627,455,447
605,51.538409,-0.008665,477,464
557,51.538469,-0.008954,429,427
562,51.538377,-0.008669,434,431
573,51.538309,-0.008812,445,439
557,51.538169,-0.008963,429,427
561,51.538033,-0.009122,433,430
573,51.537923,-0.009231,445,439
591,51.537858,-0.009378,463,453
553,51.537868,-0.009487,425,424
539,51.537754,-0.00963,411,413
577,51.537759,-0.009722,449,442
568,51.537665,-0.009735,440,436
555,51.53778,-0.009848,427,426
547,51.537615,-0.009819,419,419
525,51.537639,-0.009882,397,403
556,51.537641,-0.009957,428,426
553,51.537861,-0.009945,425,424
552,51.537529,-0.010259,424,423
473,51.537427,-0.010415,345,363
511,51.53743,-0.010549,383,392
488,51.537697,-0.009883,360,374
501,51.537417,-0.01067,373,384
517,51.537425,-0.010775,389,396
521,51.537662,-0.010939,393,400
525,51.537767,-0.010973,397,403
536,51.537973,-0.011157,408,411
536,51.538056,-0.011203,408,411
539,51.538153,-0.011237,411,413
543,51.538169,-0.010989,415,416
534,51.538043,-0.010935,406,409
519,51.537944,-0.010872,391,398
526,51.537928,-0.01088,398,403
531,51.537696,-0.010717,403,407
540,51.53755,-0.010599,412,414
562,51.537266,-0.010926,434,431
562,51.537307,-0.010989,434,431
544,51.537459,-0.011019,416,417
541,51.53749,-0.011036,413,415
570,51.537639,-0.01135,442,437
530,51.53767,-0.011312,402,406
542,51.537777,-0.011434,414,416
549,51.538088,-0.011543,421,421
540,51.538051,-0.01148,412,414
544,51.53821,-0.011556,416,417
548,51.538302,-0.011577,420,420
521,51.538278,-0.011338,393,400
552,51.538396,-0.011094,424,423
533,51.538523,-0.01062,405,409
543,51.537697,-0.009883,415,416
542,51.538523,-0.010314,414,416
531,51.538594,-0.010486,403,407
530,51.538805,-0.010196,402,406
543,51.538675,-0.01007,415,416
541,51.538813,-0.010024,413,415
538,51.538884,-0.00994,410,413
537,51.538912,-0.009873,409,412
555,51.538849,-0.009399,427,426
566,51.538895,-0.009157,438,434
554,51.538796,-0.008991,426,425
540,51.538749,-0.008835,412,414
524,51.538681,-0.00861,396,402
546,51.538707,-0.00851,418,419
565,51.538601,-0.008583,437,433
573,51.53843,-0.008612,445,439
567,51.538472,-0.008408,439,435
617,51.537989,-0.008918,489,473
536,51.53815,-0.011535,408,411
550,51.538353,-0.010685,422,422
555,51.537968,-0.011535,427,426
564,51.537881,-0.011556,436,433
544,51.53778,-0.011312,416,417
548,51.537626,-0.011258,420,420
530,51.537532,-0.01091,402,406
553,51.537537,-0.010595,425,424
518,51.537412,-0.010545,390,397
531,51.537503,-0.010331,403,407
522,51.537597,-0.010121,394,400
545,51.537743,-0.009999,417,418
528,51.537879,-0.010066,400,405
518,51.53797,-0.010125,390,397
548,51.53791,-0.009966,420,420
548,51.538216,-0.010062,420,420
521,51.53821,-0.010263,393,400
508,51.538216,-0.010242,380,390
535,51.538043,-0.01015,407,410
551,51.5379,-0.010087,423,423
520,51.537751,-0.009924,392,399
522,51.537942,-0.009731,394,400
606,51.538845,-0.009336,478,465
572,51.538831,-0.009399,444,439
564,51.538803,-0.009328,436,433
547,51.53886,-0.009328,419,419
545,51.538925,-0.009378,417,418
555,51.538944,-0.009173,427,426
598,51.538777,-0.009097,470,459
561,51.538831,-0.00921,433,430
576,51.538774,-0.00911,448,442
555,51.538777,-0.008917,427,426
609,51.538649,-0.008677,481,467
566,51.538552,-0.008484,438,434
573,51.538375,-0.008501,445,439
577,51.538082,-0.008837,449,442
556,51.537908,-0.009093,428,426
635,51.537761,-0.009202,507,487
631,51.537733,-0.009428,503,484
633,51.537743,-0.009454,505,485
574,51.537701,-0.009743,446,440
557,51.53766,-0.009835,429,427
616,51.537594,-0.00971,488,472
567,51.537573,-0.009659,439,435
534,51.537769,-0.009953,406,409
549,51.537947,-0.009974,421,421
535,51.538252,-0.010188,407,410
537,51.538341,-0.010163,409,412
549,51.538419,-0.010226,421,421
489,51.538521,-0.010096,361,375
541,51.538497,-0.010196,413,415
542,51.538568,-0.010045,414,416
542,51.538581,-0.009953,414,416
555,51.538641,-0.009806,427,426
