id,value,feed_id,created_at,lat,lon,,,value-128,value*0.76684881602
,533,2850245,2024-08-01 12:10:24 UTC,51.538288,-0.009765,,,405,409
0FN9TGP3153Z4KXXNENG2NJ76X,539,2850245,2024-08-01 12:10:51 UTC,51.538301,-0.009555,,,411,413
0FNBYNGDB0CV5PZQ59V0PEX2QV,566,2850245,2024-08-03 17:42:07 UTC,51.538442,-0.010336,,,438,434
0FNBYNRG0WXNA3TCDJZYPEW6SJ,555,2850245,2024-08-03 17:42:33 UTC,51.538445,-0.01058,,,427,426
0FNBYP0VJC72WAGWWG4CB0E97N,511,2850245,2024-08-03 17:43:01 UTC,51.538312,-0.011064,,,383,392
0FNBYP9A2437SDY29QHX2Q69VH,543,2850245,2024-08-03 17:43:28 UTC,51.538203,-0.011479,,,415,416
0FNBYPHFNDHCC8TJN5P07A7SDG,561,2850245,2024-08-03 17:43:55 UTC,51.538124,-0.011689,,,433,430
0FNBYPT9E0D92GDZ8MG9C1W2R6,548,2850245,2024-08-03 17:44:24 UTC,51.538195,-0.011531,,,420,420
0FNBYQ2JMJQY49ER7V8W8MPKAT,566,2850245,2024-08-03 17:44:51 UTC,51.538124,-0.011602,,,438,434
0FNBYQAK0BAF6RW6Y58QJ5KET0,523,2850245,2024-08-03 17:45:17 UTC,51.537902,-0.011468,,,395,401
0FNBYQJY05PRYF0MGDFHKPWNTS,544,2850245,2024-08-03 17:45:45 UTC,51.537699,-0.011128,,,416,417
0FNBYQVEJ8SR7D4PYQB3XFAJWN,518,2850245,2024-08-03 17:46:13 UTC,51.537521,-0.010931,,,390,397
0FNBYR3RTPG2PGA7F5ERY93P4T,502,2850245,2024-08-03 17:46:40 UTC,51.537573,-0.01065,,,374,385
0FNBYRCJ6QK4P752CDW3TZH5DT,533,2850245,2024-08-03 17:47:09 UTC,51.537654,-0.010733,,,405,409
0FNBYTDCVBFDTDVX8BMNV1WHWQ,515,2850245,2024-08-03 17:50:41 UTC,51.537388,-0.010624,,,387,395
0FNBYTN0ZG6N2C4X8AKW18TWBK,546,2850245,2024-08-03 17:51:06 UTC,51.537412,-0.010545,,,418,419
0FNBYTXBRV5TN7VZR0CY77SZEE,522,2850245,2024-08-03 17:51:34 UTC,51.537469,-0.010415,,,394,400
0FNBYV5TJYT7WYA5TYJBFMV6XS,574,2850245,2024-08-03 17:52:01 UTC,51.537534,-0.010272,,,446,440
0FNBYVE28P7FP7FVMZ3Q4X7B4W,561,2850245,2024-08-03 17:52:28 UTC,51.537576,-0.010104,,,433,430
0FNBYVQQXXP29CN8R2QXHVPP47,519,2850245,2024-08-03 17:53:00 UTC,51.537581,-0.010037,,,391,398
0FNBYVYSHBVBEAK7W9JX233MBW,488,2850245,2024-08-03 17:53:23 UTC,51.53761,-0.009907,,,360,374
0FNBYW74KV380A8CF2P2BN4C63,531,2850245,2024-08-03 17:53:50 UTC,51.537772,-0.009945,,,403,407
0FNBYWFBP6SSBRW6PCFPEGSJJK,540,2850245,2024-08-03 17:54:17 UTC,51.537739,-0.009877,,,412,414
0FNBYWSSAZ7KK60VY5S4MXV19F,518,2850245,2024-08-03 17:54:52 UTC,51.537853,-0.0101,,,390,397
0FNBYXGWX64839PQJV7603X024,552,2850245,2024-08-03 17:56:07 UTC,51.538069,-0.010037,,,424,423
0FNBYXS61T8ZGD2VYG2M5118D1,575,2850245,2024-08-03 17:56:34 UTC,51.538161,-0.010175,,,447,441
0FNBYY1G9G1DZ9YG3D7SCDX8DT,588,2850245,2024-08-03 17:57:02 UTC,51.538396,-0.01031,,,460,451
0FNBYYA6NMM8DQ4S0P7Y07GAR3,576,2850245,2024-08-03 17:57:30 UTC,51.538659,-0.010201,,,448,442
0FNBYYJYZZMFVSPXH066NG5999,558,2850245,2024-08-03 17:57:59 UTC,51.538808,-0.010087,,,430,428
0FNBYZBG7FEGYDGHPEBZM5ECAC,537,2850245,2024-08-03 17:59:19 UTC,51.538837,-0.009865,,,409,412
